economy;region_id;partner;region_id;fta_name;proposed;fa_signed;negotiations_launched;signed;in_force;Discontinued;Type;Extra/Intra
United States ;6;Philippines;3;Philippines-United States Free Trade Association;1989;;;;;;Bilateral;Extra
Philippines;3;United States ;6;Philippines-United States Free Trade Association;1989;;;;;;Bilateral;Extra
United States ;6;Indonesia;3;Indonesia-United States Free Trade Agreement;1997;;;;;;Bilateral;Extra
Indonesia;3;United States ;6;Indonesia-United States Free Trade Agreement;1997;;;;;;Bilateral;Extra
Cook Islands;4;Fiji;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Cook Islands;4;Kiribati;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Cook Islands;4;Marshall Islands;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Cook Islands;4;Micronesia, Federated States of;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Cook Islands;4;Nauru;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Cook Islands;4;Niue;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Cook Islands;4;Palau;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Cook Islands;4;Papua New Guinea;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Cook Islands;4;Samoa;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Cook Islands;4;Solomon Islands;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Cook Islands;4;Tonga;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Cook Islands;4;Tuvalu;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Cook Islands;4;Vanuatu;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Fiji;4;Cook Islands;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Fiji;4;Kiribati;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Fiji;4;Marshall Islands;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Fiji;4;Micronesia, Federated States of;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Fiji;4;Nauru;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Fiji;4;Niue;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Fiji;4;Palau;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Fiji;4;Papua New Guinea;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Fiji;4;Samoa;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Fiji;4;Solomon Islands;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Fiji;4;Tonga;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Fiji;4;Tuvalu;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Fiji;4;Vanuatu;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Kiribati;4;Cook Islands;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Kiribati;4;Fiji;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Kiribati;4;Marshall Islands;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Kiribati;4;Micronesia, Federated States of;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Kiribati;4;Nauru;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Kiribati;4;Niue;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Kiribati;4;Palau;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Kiribati;4;Papua New Guinea;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Kiribati;4;Samoa;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Kiribati;4;Solomon Islands;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Kiribati;4;Tonga;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Kiribati;4;Tuvalu;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Kiribati;4;Vanuatu;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Marshall Islands;4;Cook Islands;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Marshall Islands;4;Fiji;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Marshall Islands;4;Kiribati;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Marshall Islands;4;Micronesia, Federated States of;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Marshall Islands;4;Nauru;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Marshall Islands;4;Niue;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Marshall Islands;4;Palau;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Marshall Islands;4;Papua New Guinea;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Marshall Islands;4;Samoa;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Marshall Islands;4;Solomon Islands;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Marshall Islands;4;Tonga;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Marshall Islands;4;Tuvalu;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Marshall Islands;4;Vanuatu;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Micronesia, Federated States of;4;Cook Islands;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Micronesia, Federated States of;4;Fiji;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Micronesia, Federated States of;4;Kiribati;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Micronesia, Federated States of;4;Marshall Islands;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Micronesia, Federated States of;4;Nauru;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Micronesia, Federated States of;4;Niue;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Micronesia, Federated States of;4;Palau;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Micronesia, Federated States of;4;Papua New Guinea;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Micronesia, Federated States of;4;Samoa;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Micronesia, Federated States of;4;Solomon Islands;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Micronesia, Federated States of;4;Tonga;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Micronesia, Federated States of;4;Tuvalu;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
Micronesia, Federated States of;4;Vanuatu;4;Pacific Island Countries Trade Agreement;1999;;2000;2001;2003;;Plurilateral;Intra
